symbol,yahoo_ticker,market_cap,isin,name,market,icb_industry,icb_supersector,icb_sector,icb_subsector
ALBLD,ALBLD.PA,65175096.0,FR0004174233,BILENDI,ALXP,"40, Consumer Discretionary","4030, Média","403010, Média","40301020, Media Agencies"
PIG,PIG.PA,63339044.0,FR0000066755,HAULOTTE GROUP,XPAR,"50, Industrials","5020, Industrial Goods and Services","502040, Industrial Engineering","50204020, Machinery: Construction and Handling"
ABLD,ABLD.PA,62705780.0,FR001400AHX6,ABL Diagnostics,XPAR,"20, Health Care","2010, Health Care","201030, Pharmaceuticals and Biotechnology","20103010, Biotechnology"
ALPJT,ALPJT.PA,62588144.0,FR0000066441,POUJOULAT,ALXP,"50, Industrials","5010, Construction and Materials","501010, Construction and Materials","50101025, Building: Climate Control"
COH,COH.PA,61119932.0,FR0004031763,COHERIS,XPAR,"10, Technology","1010, Technology","101010, Software and Computer Services","10101015, Software"
SACI,SACI.PA,57701572.0,FR0000061418,FIDUCIAL OFF.SOL.,XPAR,"40, Consumer Discretionary","4040, Retail","404010, Retailers","40401010, Diversified Retailers"
ALKLH,ALKLH.PA,57539104.0,FR0013481835,KLEA HOLDING,ALXP,"20, Health Care","2010, Health Care","201020, Medical Equipment and Services","20102010, Medical Equipment"
HDF,HDF.PA,55494764.0,FR0014003VY4,HDF,XPAR,"65, Utilities","6510, Utilities","651010, Electricity","65101010, Alternative Electricity"
ALICA,ALICA.PA,55266980.0,FR001400A3Q3,ICAPE HOLDING,ALXP,"10, Technology","1010, Technology","101020, Technology Hardware and Equipment","10102010, Semiconductors"
ALHRG,ALHRG.PA,53987244.0,FR0000066540,HERIGE,ALXP,"50, Industrials","5010, Construction and Materials","501010, Construction and Materials","50101030, Cement"
AURE,AURE.PA,53826908.0,FR0000039232,AUREA,XPAR,"65, Utilities","6510, Utilities","651030, Waste and Disposal Services","65103035, Waste and Disposal Services"
ALNOV,ALNOV.PA,52461880.0,FR0010397232,NOVACYT,ALXP,"20, Health Care","2010, Health Care","201020, Medical Equipment and Services","20102010, Medical Equipment"
VANTI,VANTI.PA,51186684.0,FR0013505062,VANTIVA,XPAR,"15, Telecommunications","1510, Telecommunications","151010, Telecommunications Equipment","15101010, Telecommunications Equipment"
ALTHX,ALTHX.PA,49751396.0,FR0013286259,THX PHARMA,ALXP,"20, Health Care","2010, Health Care","201030, Pharmaceuticals and Biotechnology","20103010, Biotechnology"
ALLEX,ALLEX.PA,48443108.0,FR0000033599,LEXIBOOK LINGUIST.,ALXP,"40, Consumer Discretionary","4020, Consumer Products and Services","402030, Leisure Goods","40203010, Consumer Electronics"
ALGAE,ALGAE.PA,48416928.0,FR0011271600,FERMENTALG,ALXP,"55, Basic Materials","5520, Chemicals","552010, Chemicals","55201020, Specialty Chemicals"
ALSMA,ALSMA.PA,47510460.0,FR0014005I80,SMAIO,ALXP,"20, Health Care","2010, Health Care","201020, Medical Equipment and Services","20102010, Medical Equipment"
ALCLA,ALCLA.PA,47368164.0,FR0013426004,CLARANOVA,ALXP,"10, Technology","1010, Technology","101010, Software and Computer Services","10101015, Software"
PVL,PVL.PA,45899832.0,FR0013252186,PLAST.VAL LOIRE,XPAR,"50, Industrials","5020, Industrial Goods and Services","502030, General Industrials","50203015, Plastics"
ALPOU,ALPOU.PA,45488956.0,FR0013015583,POULAILLON,ALXP,"45, Consumer Staples","4510, Food, Beverage and Tobacco","451020, Food Producers","45102020, Food Products"
ALECP,ALECP.PA,43866436.0,FR0010490920,EUROPACORP,ALXP,"40, Consumer Discretionary","4030, Média","403010, Média","40301010, Entertainment"
ALHOP,ALHOP.PA,43662404.0,FR0000065278,HOPSCOTCH GROUPE,ALXP,"40, Consumer Discretionary","4030, Média","403010, Média","40301020, Media Agencies"
ALMRB,ALMRB.PA,43139972.0,FR0004034320,MR BRICOLAGE,ALXP,"40, Consumer Discretionary","4040, Retail","404010, Retailers","40401025, Home Improvement Retailers"
JBOG,JBOG.PA,42104600.0,FR0012872141,JACQUES BOGART,XPAR,"45, Consumer Staples","4520, Personal Care, Drug and Grocery Stores","452010, Personal Care, Drug and Grocery Stores","45201020, Personal Products"
ALPWG,ALPWG.PA,39870976.0,FR0012613610,PRODWAYS GROUP,ALXP,"50, Industrials","5020, Industrial Goods and Services","502040, Industrial Engineering","50204050, Machinery: Specialty"
ALCOX,ALCOX.PA,38828712.0,FR0013018124,NICOX,ALXP,"20, Health Care","2010, Health Care","201030, Pharmaceuticals and Biotechnology","20103015, Pharmaceuticals"
PAR,PAR.PA,38494056.0,FR0010263202,PAREF,XPAR,"35, Real Estate","3510, Real Estate","351020, Real Estate Investment Trusts","35102000, Diversified REITs"
MEMS,MEMS.PA,38449244.0,FR0010298620,MEMSCAP REGPT,XPAR,"10, Technology","1010, Technology","101020, Technology Hardware and Equipment","10102010, Semiconductors"
ALTHE,ALTHE.PA,36986900.0,FR0010120402,THERACLION,ALXP,"20, Health Care","2010, Health Care","201020, Medical Equipment and Services","20102010, Medical Equipment"
ALDNX,ALDNX.PA,36915248.0,FR0010436584,DNXCORP,ALXP,"10, Technology","1010, Technology","101010, Software and Computer Services","10101020, Consumer Digital Services"
ALENO,ALENO.PA,36826244.0,FR0014004974,ENOGIA,ALXP,"50, Industrials","5020, Industrial Goods and Services","502040, Industrial Engineering","50204030, Machinery: Engines"
ALDRV,ALDRV.PA,36682772.0,FR001400SVN0,DRONE VOLT,ALXP,"50, Industrials","5020, Industrial Goods and Services","502010, Aerospace and Defense","50201010, Aerospace"
